city,admin_name,name,ID,address
Orbassano,Piemonte,Caffé Dandy,1262229574,Via Cesare Cervetti 16/B
Orbassano,Piemonte,Caffè Visetto,1375902906,Strada Volvera 23
Perosa Canavese,Piemonte,Bar T64,2897288914,Via Isonzo 166
Pianezza,Piemonte,Bar Ristò,2985783921,Via Susa 15
Pianezza,Piemonte,Caffè Lara,2985667882,Via Amedeo Gioliti 39
Pianezza,Piemonte,La Fattoria del Gelato,1938640194,Via Grange 44
Pinerolo,Piemonte,Bar Carolina,2467993527,Stradale Fenestrelle 1
Pinerolo,Piemonte,Bar del Centro,3350723492,Via Trieste 70
Pinerolo,Piemonte,Bar del Corso,2073075816,Corso Torino 130
Pinerolo,Piemonte,Bar Trattoria Veloce Club,2481800839,Piazza Santa Croce 3
Pinerolo,Piemonte,Bar Wine & Food,2410210059,Stradale Poirino 35
Pinerolo,Piemonte,Cafe 500,2447412659,Piazza Matteotti 187
Pinerolo,Piemonte,Caffeina,2351918716,Corso Piave 9
Pinerolo,Piemonte,Caffè Savoia,2184410108,Via Savoia 39
Pinerolo,Piemonte,Da Vinci,3350726914,Corso Torino 42
Pinerolo,Piemonte,Dolce Angolo,2352358572,Via Luigi Valmaggi 14
Pinerolo,Piemonte,Dolce Caffé,2074459765,Corso Torino 163
Pinerolo,Piemonte,Dolce Caffè,2632780856,Via Edoardo Agnelli 17
Pinerolo,Piemonte,Dolce Crema,3498313635,Via Clemente Lequio 6
Pinerolo,Piemonte,Dolce Freddo,2074612366,Via Clemente Lequio 48
Pinerolo,Piemonte,Espresso Italia,2274916890,Via Montegrappa 2/4
Pinerolo,Piemonte,Gelateria La Romana,2425866538,Castel Gandolfo 30
Pinerolo,Piemonte,Gelateria Svizzera,2076042079,Via del Duomo 21
Pinerolo,Piemonte,Il Bistrot,3350716239,Piazza Vittorio Veneto 7
Pinerolo,Piemonte,La Veneta,3350548023,Piazza Luigi Facta 55
Pinerolo,Piemonte,L'Oragiusta,2535205958,Corso Torino 90
Pinerolo,Piemonte,Millibar,2334733788,Via Molino delle Lime 4
Pinerolo,Piemonte,New Liberty,2334728931,Via Trieste 35
Pinerolo,Piemonte,Slurp,2076042080,Via del Duomo 160
Pinerolo,Piemonte,Torrefazione Ramon De Rivaz,2104478118,Percorso ciclabile Pinerolo - S. Pietro 6
Pino Torinese,Piemonte,Bar Panoramix,1324412581,Via dei Colli 42
Piobesi Torinese,Piemonte,Garbo,3739087469,Corso Italia 105
Piossasco,Piemonte,Eisdiele,2804159114,Via Gabelli 43
Piossasco,Piemonte,Palestro,2913278797,Via Palestro 92
Piverone,Piemonte,"Bar """"La Capannina""""",3241288065,Strada Statale 228 26
Piverone,Piemonte,Bar Moresco,889405633,Strada Statale 228 25
Pomaretto,Piemonte,Chez nous,1843221564,Via Carlo Alberto 51
Pragelato,Piemonte,Bar Zar,1575896049,Via dei Cacciatori 164
Pragelato,Piemonte,Borgo Antico,1576660236,Meolo 9
Pragelato,Piemonte,Il Baretto,1575896056,Strada Regionale 23 del Colle di Sestriere 163
Prali,Piemonte,Alpi,1839770751,Malzat SP169
Prali,Piemonte,Carlie,1839770753,Malzat SP169
Rivalta Di Torino,Piemonte,Bar Atlantic,458387243,Strada Torino 199
Rivalta Di Torino,Piemonte,Jolly,2637230492,Via Piossasco 147
Rivalta Di Torino,Piemonte,Prabernasca Cafè,2164412984,Via Giaveno 183
Rivarolo Canavese,Piemonte,Al Bistrot,2006353707,Via Antonio Merlo 158
Rivarolo Canavese,Piemonte,Alex's cafè,1998512412,Corso Italia 80
Rivarolo Canavese,Piemonte,Avenatti,1984110090,Via Ivrea 119
Rivarolo Canavese,Piemonte,Bar Allanon,2009644721,Via Oglianico 3
Rivarolo Canavese,Piemonte,Bar degli Artisti,2002589622,Via Rejneri 77
Rivarolo Canavese,Piemonte,Bar Fiore,1979988436,Via Recrosio 155
Rivarolo Canavese,Piemonte,Bar Vallesusa,1494126793,Corso Indipendenza 37
Rivarolo Canavese,Piemonte,Bataclan Cafè,1987696613,Via San Francesco d'Assisi 69
Rivarolo Canavese,Piemonte,Caffè del Corso,2001023710,Via Cavour 55
Rivarolo Canavese,Piemonte,Caffè del Monumento,1981422251,Viale Berone 27
Rivarolo Canavese,Piemonte,Caffè del Municipio,1983554042,Via Ivrea 167
Rivarolo Canavese,Piemonte,Caffè Garibaldi,1983554071,Piazza Garibaldi 36
Rivarolo Canavese,Piemonte,Caffè I Portici,1981841238,Via Ivrea 22
Rivarolo Canavese,Piemonte,Caffè Stazione,1979988393,Via Malgrà 32
Rivarolo Canavese,Piemonte,Caffè Torino,1981460552,Via Domenico Viano 4
Rivarolo Canavese,Piemonte,Felix Bar,1988150662,Via Trieste 113
Rivarolo Canavese,Piemonte,G-Point,1988137171,Centro Commerciale San Francesco 137
Rivarolo Canavese,Piemonte,Gusto,1978599727,Corso Indipendenza 193
Rivarolo Canavese,Piemonte,Il Gallo,1996794802,Vicolo del Forno 72
Rivarolo Canavese,Piemonte,La Torre,2074330197,Via Maurizio Farina 88
Rivarolo Canavese,Piemonte,L'Ora del Caffè,1998512415,Via Trieste 175
Rivarolo Canavese,Piemonte,Made in Italy,1987726107,Via Favria 124
Rivarolo Canavese,Piemonte,Minibar,2012101506,Via della Lumaca 61
Rivarolo Canavese,Piemonte,Nero Cafè,1981881841,Corso Indipendenza 52
Rivarolo Canavese,Piemonte,Peter Pan,2003967373,Viale Losego 104
Rivarolo Canavese,Piemonte,Tomate,1989499315,Viale Berone 66
Rivoli,Piemonte,Ari Cafe',2727272473,Volvera 18
Rivoli,Piemonte,Ary Caffe',2950418766,Piazzale Carena 165
Rivoli,Piemonte,Bar Susa,3085256679,Corso Susa 90 A
Rivoli,Piemonte,Blanco,3169680944,Corso Francia 192
Rivoli,Piemonte,Cafè Via Maestra,2928827809,Aviano 51
Rivoli,Piemonte,Consueto Di Furnari Marco,3120702280,Piazza Principe Eugenio 56
Rivoli,Piemonte,Florio,3172044765,Via Sestriere 38
Rivoli,Piemonte,Gelo Doc,2929230976,Via Cavalieri di Vittorio Veneto 59
Rivoli,Piemonte,Il Dolce Stile,1702940922,Corso Francia 129 C
Rivoli,Piemonte,Il frullo,2949096341,Via Santa Croce 165
Rivoli,Piemonte,La Romana,2928890302,Piazza Martiri della Libertà 14
Rivoli,Piemonte,Moine,2928879441,Piazza Giuseppe Garibaldi 49
Rivoli,Piemonte,Pam Pam,2293461512,Corso Francia 171
Rivoli,Piemonte,Paradiso,3974669377,Alpignano 26
Rivoli,Piemonte,Posta Vecchia,3989556276,Corso Susa 133 A
Romano Canavese,Piemonte,Bar Centro,1307700519,Via Ponte Chiusella 109
Romano Canavese,Piemonte,Bar Drop In,2144036197,Via Sotto Vigne 1
Romano Canavese,Piemonte,Bar Pasticceria La Rosa Antica,2919189492,Viale Guglielmo Marconi 52
Romano Canavese,Piemonte,Caffè Piero,2919189493,Via Santa Teresina 20
Romano Canavese,Piemonte,Sbic Bar,2919191207,Casandrino 112
Ronco Canavese,Piemonte,Bar Soana,3842781388,Alpetta SP47
Roure,Piemonte,L'Iclo',2080233087,Strada Regionale 23 del Colle di Sestriere 179
Roure,Piemonte,Sigmund,3692978326,Strada Regionale 23 del Colle di Sestriere 54
Samone,Piemonte,Invidia,1881740652,Via Provinciale 27
Samone,Piemonte,Mister Magù,1881740653,Via Ivrea 21
San Giorgio Canavese,Piemonte,Caffè del Centro,2942678004,Via Dante Alighieri 2
San Giorgio Canavese,Piemonte,Oasi Caffè Bar Tavola Calda,2942678056,Via Iavelli 153
San Giorio Di Susa,Piemonte,Bar Italia,3156998299,Piazza Giordano Velino 17
San Maurizio Canavese,Piemonte,50 Special,3778007791,Via Aldo Devietti Goggia 46
San Mauro Torinese,Piemonte,Tosto,295397816,Strada Settimo 23
San Secondo Di Pinerolo,Piemonte,8 Settembre,3730281249,Via San Rocco 97
San Secondo Di Pinerolo,Piemonte,Bar Tabacchi Paschetta,2628979927,Via Valpellice 24
San Secondo Di Pinerolo,Piemonte,Jocker Pub,2281240014,Via della Repubblica 78
Sant'Ambrogio Di Torino,Piemonte,Colorado,891825150,Corso Moncenisio 124
Sant'Ambrogio Di Torino,Piemonte,Ostelleria del Pellegrino,3666792409,Via Sacra di San Michele 14
Sant'Antonino Di Susa,Piemonte,Gran Central Café,3733568683,Via Roma 41
Sauze D'Oulx,Piemonte,Ghost,3304644539,Via Miramonti 160
Sauze D'Oulx,Piemonte,Lampione,3304650009,Via Assietta 145
Sauze D'Oulx,Piemonte,Miravallino,3304644540,Via Clotes 3
Sauze D'Oulx,Piemonte,Paddy McGintys,3304632872,Via Clotes 6
Sauze D'Oulx,Piemonte,The Cotton Club,3304638372,Via Assietta 79
Scarmagno,Piemonte,Autogrill,2919189490,Area di Servizio Scarmagno est 77
Scarmagno,Piemonte,Autogrill,2919189491,Area di Servizio Scarmagno est 39
Sestriere,Piemonte,Bar Abba,3721582456,Piazzale Fraiteve 87
Sestriere,Piemonte,Bar il Tinello,3721581845,Piazzale Fraiteve 21
Sestriere,Piemonte,Bar Kandahar,2419128804,Strada Statale 23 del Colle di Sestriere 10 c
Sestriere,Piemonte,Cafe Marbì,3721583425,Piazzale Fraiteve 40
Sestriere,Piemonte,Napapijri,2412410239,Strada Statale 23 del Colle di Sestriere 156
Settimo Torinese,Piemonte,Bar Luca e Dario,3495782611,Via Leinì 169
Settimo Torinese,Piemonte,Bar Luca e Dario,3495782611,Via Leinì 34
Settimo Vittone,Piemonte,Vertical Rock,2604459009,Via Rua 143
Strambino,Piemonte,Infinite Dolcezze,1475043926,Via Piemonte 139
Strambino,Piemonte,MiSvago,3228110863,Via Generale Sisto Bertoldi 100
Susa,Piemonte,Bar della Stazione,1476574713,Corso Stati Uniti 1
Susa,Piemonte,Bar del Peso,1476574709,Corso Luciano Couvert 1
Susa,Piemonte,Cafè Millennium,2916021338,Piazza Quattro Novembre 184
Susa,Piemonte,Caffè Chocolat,2903478875,Bernalda 11
Susa,Piemonte,Caffè del Sole,2419088184,Piazza Quattro Novembre 19
Susa,Piemonte,Caffè Roma,2903469848,Tortona 179
Susa,Piemonte,Chez Zizi,2939746326,Nocera Superiore 182
Susa,Piemonte,Franca,2917619639,Via Caduti di tutte le Guerre 2
Susa,Piemonte,Il Ritrovo,3052658012,Travagliato 185
Susa,Piemonte,Impero,2723281943,Corso Stati Uniti 100
Susa,Piemonte,La Sosta,2923976342,Crotone 94
Susa,Piemonte,Mignon,2903534753,Corso Inghilterra 17
Susa,Piemonte,Plaza Cafè,2419088185,Anagni 65
Susa,Piemonte,Praga Café,2790994078,Corso Stati Uniti 37
Susa,Piemonte,Segvsio,2903469871,Via Roma 52
Susa,Piemonte,Stella,3052692274,Via Torino 42
Susa,Piemonte,The Wall,2924319226,Lungodora Augusto Abegg 20a
Torino,Piemonte,12th round,1466778782,Vimercate 68
Torino,Piemonte,Alla goccia!,3349809576,Corso San Maurizio 61/L
Torino,Piemonte,Al Montebello,3051585734,Via Montebello 67
Torino,Piemonte,Amaranto Bistrot,3343902801,Corso Alcide De Gasperi 43
Torino,Piemonte,Antica Torrefazione del Principe,3147953789,Via Tripoli 143
Torino,Piemonte,Aperhaus,3895101904,Corso Guglielmo Marconi 38
Torino,Piemonte,ARKI cafè,2899317057,Via Andrea Vochieri 2/D
Torino,Piemonte,Armstrong cafè,957908463,Via Gravere 173
Torino,Piemonte,Art Café,3147129805,Corso Alcide De Gasperi 25 D
Torino,Piemonte,Bar,3563452893,Romano Canavese 144
Torino,Piemonte,Bar 2 Corone,295340572,Alpignano 148
Torino,Piemonte,Bar Alice,538182706,Piazza Statuto 157
Torino,Piemonte,Baratti e Milano,1487933346,Piazza Castello 29
Torino,Piemonte,Barbarella,3224067523,Via Belfiore 4b
Torino,Piemonte,Bar Billy,2923386021,Via Bologna 34
Torino,Piemonte,Bar Chez Vous,3949941923,Piazza Giampietro Chironi 12/B
Torino,Piemonte,Bar Cigna,2097363624,Via Francesco Cigna 74
Torino,Piemonte,Bar Cristal,3756050211,Corso Francia 197
Torino,Piemonte,Bar degli Angeli,1244552378,Via Vanchiglia 87
Torino,Piemonte,Bar dell'Angolo,2097333203,Lungo Dora Napoli 75
Torino,Piemonte,Bar dell'Angolo,1242085911,Lungo Dora Napoli 153
Torino,Piemonte,Bar Einaudi,1711189166,Corso Luigi Einaudi 57
Torino,Piemonte,Bar Filadelfia,2524189827,Via Filadelfia 79
Torino,Piemonte,Bar Francia,2068288947,Via Giuseppe Garibaldi 6
Torino,Piemonte,Bar Genova,2132283587,Via Testona 169
Torino,Piemonte,Bar Gibson,3949941928,Piazza Giampietro Chironi 1
Torino,Piemonte,Bar Iceblue,320878349,Via Antonio Giuseppe Bertola 74
Torino,Piemonte,Bar Michele,1467473555,Via Belfiore 198
Torino,Piemonte,Bar Milleluci,320878407,Via Antonio Giuseppe Bertola 121
Torino,Piemonte,Bar Muretto,2887553861,Via delle Primule 17
Torino,Piemonte,Bar Pascià,2176449622,Via Nizza 342
Torino,Piemonte,Bar Pasticceria Icarus,1446143789,Via Bardonecchia 114
Torino,Piemonte,Bar Pasticceria Lupo,2633750156,Via Luigi Salvatore Cherubini 85
Torino,Piemonte,Bar Patty,3956356000,Via Ghemme 9/D
Torino,Piemonte,Bar Salerno,310197383,Via San Francesco da Paola 19
Torino,Piemonte,Bar su nuraghe,1467593763,Via San Pio Quinto 4
Torino,Piemonte,BArt Cafè,2014372855,Corso Guglielmo Marconi 13
Torino,Piemonte,Beau Bar,3113566837,Via Gaudenzio Ferrari 31
Torino,Piemonte,Beethoven Haus,3342111100,Via Giuseppe Mazzini 163
Torino,Piemonte,Belfiore,1467473564,Via Belfiore 198
Torino,Piemonte,Blanche cafè,2561589428,Corso Regina Margherita 194
Torino,Piemonte,Boero caffè,3343889298,Corso Alcide De Gasperi 57
Torino,Piemonte,Bolla Cafe,2406157053,Corso Moncalieri 149
Torino,Piemonte,Bolla Cafe,2406165252,Corso Moncalieri 187
Torino,Piemonte,Caballero,3113239338,Corso Moncalieri 115
Torino,Piemonte,Cafè,3757062068,Strada delle Cacce 155
Torino,Piemonte,Cafè Chocolat,1278637802,Strada San Mauro 142
Torino,Piemonte,Café des Arts,2512927178,Via Principe Amedeo 33
Torino,Piemonte,Cafè Fiurin,3629441432,Corso Vittorio Emanuele II 66bis
Torino,Piemonte,"Cafè """"Le Colonne""""",2282481482,Corso Re Umberto 9/1
Torino,Piemonte,Cafè Roberta,3147953813,Corso Orbassano 92
Torino,Piemonte,Cafe Savoia,2068316260,Via Giuseppe Garibaldi 80
Torino,Piemonte,caffè a gogò,2727242745,Via Pio VII 21
Torino,Piemonte,Caffè al Bicerin,2700446956,Piazza della Consolata 5
Torino,Piemonte,Caffè Arcadia,1757061979,Corso Alessandro Tassoni 59
Torino,Piemonte,Caffè Blum,3957940795,Girifalco 33
Torino,Piemonte,Caffè Borromini,3977818487,Via Bardassano 2
